Col 285 Sector NE-G C11-32,Commander Byrne has named this location Zen Crater. He sees this as an ideal place for Zen tourists to sit and watch the galaxy through the ring system overhead.,-154.13,7.63,96.31
Col 285 Sector RF-C B14-7,"This is a destination for tourists happy to experience some real heat! This example of a hot Jupiter was suggested by Commander Raumfahrer Spiff, and pilots are warned to keep an eye on their hull temperature when in this area.",-164.06,12.84,-55.91
CSI+47-21046,"Known to Commander Sand dan Glokta as the Patchwork Plains, this is the only landable planet of a large, bright Wolf Rayet star, which is currently in the process of blowing off its outer layers in a distinctive red and blue pattern. Enjoy a weekend of camping, hiking and dune-bashing in high gravity.",-5998.97,41.88,104.69
Dryaa Pri XA-D D13-470,This exceedingly rare trio of planets is recommended by Commander Title. It features two Earth-like worlds orbitng an ammonia water world.,829.06,-555.03,21826.47
Dryoea Pra HR-W F1-593,"According to Commander Newman1702, this is one of his favourite finds: Earth-like twins in a black hole system!",-4647.38,-2229.44,21544.00
DRYOI PRI GG-Y E5156,"Commander Zapness considers this rare, ringed Earth-like planet orbiting a neutron star an impressive sight.",-916.31,-1211.97,20963.50
Eactaify ES-B D13-3,"Intriguing system with an Earth-like world, three water worlds and rich in resources. And all of these while orbiting a K-class red giant.",-3575.03,195.50,43654.59
EEMBAISK DG-O E6-2972,The rich red and green colours of this planetary nebula inspired Commander Exar SPIRE to make this a celestial sightseeing location.,3727.41,539.28,30848.22
EEMBAISK NS-R D5-2857,This trio of Earth-like worlds in an intricate orbital dance is one of Commander Bartizan's wonders of the galaxy.,3578.91,986.75,30176.81
Elephant's Trunk Sector XO-A C1,Three small planets (landable) for clear views of the Elephant's Trunk nebula,-2662.88,179.38,-529.47
Facece,Emperor Arissa Lavigny-Duval was born in this system in the year 3243. She was crowned emperor in 3302.,64.28,-111.44,25.19
Flyai Gruia RN-K c11-7,"Commander Newman1702 has stated that this is one of the most beautiful locations in the galaxy. This tiny icy moon orbits a ringed gas giant while almost touching its rings, providing some incredible views from the surface. There's also an Earth-like world in the system to admire.",-22980.69,-92.22,50628.91
Flyeia Hypai FH-X C17-16,Commander CrossFire Walli recommends this small red planet orbiting near a beautiful orange-red K type star as a trip worth making for the view alone.,3766.31,-279.28,7377.19
Gacrux,"Gacrux, also known as Gamma Crucis, is one of the bigger stars in the galaxy and the nearest red giant star to the Sol system. Commander AreZee informs travellers that despite the orbital distance of Hopkinson's Inheritance, the star is clearly visible from the surface port and is a sublime spectacle.",75.91,8.31,44.81
Greae Hypai WP-G D10-14,"Commander Philip Lynx suggests that is view of an Earth-like planet orbiting a giant S-class star, is a very rare and unique sight for travellers to enjoy!",1588.59,-1297.09,13920.44
Synuefe RA-L d9-49,,355.09,-109.56,-190.16
HD 148937,"This huge planet in a system with multiple stars, providing once-in-a-lifetime vistas, was suggested by Commander Red Anders. This destination is definitely one for the adventure tourists. The less experienced should be careful of the planet's strong gravity!",548.69,-18.03,1274.72
HD 175876,,-644.19,-472.00,2299.31
HD 47246,,1613.16,-394.41,-1540.28
Hecate,Commander Canonn extols the amazing views within the icy rings of this moon.,-56.00,-25.13,-44.28
HIP 101504,,28.41,-163.78,213.63
HIP 70194,,481.84,137.78,539.34
HIP 38064,This tourist destination was set by Commander OptimusGrind. It shows a stunning scene with a binary planet system orbiting close to an O class star. Both planets have ring systems.,1152.94,-60.69,-478.25
HIP 63835,,225.88,4.91,157.59
HIP 84144,,17.00,52.81,456.00
HIP 9571,"Commander Iocation describes this world of contrasts as ""A beautiful planet of ice, with giant lave fissures"".",423.13,-772.56,73.75
HIP 95944,,-347.53,-158.19,592.00
HR 1597,Commander Kintch Dempsey reports that this moon orbits so close to a ring system that the views must be experienced personally to be properly appreciated.,78.19,-60.88,-3.44
HR 6164,Commander Mephane shared this tourist destination simply for its amazing views.,444.34,58.31,1282.97
IC 1805 Sector AV-O c6-6,"Experience this stunning view of an unnamed planetary nebula, with the compliments of Commander Kosh_EG.",-4336.94,12.84,-4423.16
Istanu,,2.06,55.16,1.28
Jackson's Lighthouse,,157.00,-27.00,-70.00
LAWD 26,,20.91,-7.50,3.75
Leamuae SI-T E3-4236,View this black hole at the centre of a planetary nebula at Commander Titler's recommendation.,945.28,-877.38,20129.25
Running Man Sector EB-X c1-13,,569.25,-422.25,-1067.56
LTT 18046,Ammonia worlds have fascinated humanity since it first journey deep into interstellar space. This is one of the rare examples known to exist within the human bubble and is recommended as a tourist destination by Commander Jak.,9.06,28.06,-45.69
Lugh,"The Battle of Lugh. Come and see the great star of the Lugh system, steeped in legend and reputed to be revered by the systems superstitious inhabitants as the solar deity Lugh Lámhfhada himself! / This historical destination was suggested by Commander Ouberos.",44.66,-5.72,27.47
Lugh,The Battle of Lugh. Come and pay your respect at the infamous Lugh 4 where countless pilots on both sides of the conflict lost their lives. Crimson State freedom fighters sold their lives dearly here to buy their comrades time to mount an effective defence against the marauding Federation invaders. / This historical destination was suggested by Commander orfeboy.,44.66,-5.72,27.47
Lugh,"The Battle of Lugh. The revered 'Seega Port'. Both active port and pilgrimage sight of the 'Seega Martyrs', and the site of the  great sacrifice for freedom. Thousands here fought and lost their lives in a last ditch attempt to buy time and distract Federation forces from the real threat of the counterattack being mounted by Crimson State commands at Hartsfield Market. Ordered to hold out as long as possible, the defenders dug in deep in the hope of wearing out the attackers' supplies. The defenders here were slaughtered but not before completing their mission - overstretching the Federation's ability to wage war within the system. The Federation committed too many of their ground weapons and ammunition here leaving them exposed later in the conflict. / This historical destination was suggested by Commander orfeboy.",44.66,-5.72,27.47
Lugh,"Hartsfield Market is the place where the war for Lugh was won. Inciting the population onboard the station to revolt, forces led by Cormac Uí Laoghaire secured the station and set up admirable defences where they repelled the Federation boarding parties. After the satellite defence system was secured the Federation fleet was forced to retreat from the system. / This historical destination was suggested by Commander orfeboy.",44.66,-5.72,27.47
Luyten 205-128,,7.59,-4.94,16.72
Maia,Maia B... the infamous Black Hole in Maia. According to Commander VampyreGTX it puts on a great show when observing the gravitational lensing effect on the surrounding nebula and stars.,-81.78,-149.44,-343.38
Veil West Sector GW-W c1-7,,-1401.56,-223.09,414.47
Millcayac,Commander Baton invites you to visit the huge ice canyons on Milcayac 1 a. Some of them are a staggering 8km deep. The region also provides some excellent terrain for canyon racing.,-21.44,-20.56,169.91
Mintaka,"This system contains a black hole, and beautiful ring systems, all cast within what Commander Old Boar describes as 'an almost magical blue light'.",270.63,-204.34,-603.78
Myoifoe IR-N e6-5,"Commander Lothal Vanderheim contemplates the scale of the universe with this sightseeing location - As it is the only planet orbiting this giant star, visiting this lonely terraforming candidate will make you realise how small you are in this gigantic universe of ours.",-4208.59,9.50,-6197.16
MYRIELK QX-X C28-1093,This exotic ice giant is recommended by Commander V'larr. Its close proximity to the star is a scientific oddity.,21.38,101.44,25781.41
Plio Eurl NK-D c26-14,,1753.72,152.63,62.81
Plaa Eurk IA-H b52-0,,-1900.28,156.88,56.28
Cat's Paw Sector OI-T c3-51,,848.78,49.41,5460.91
Pallaeni,"This system is famed as the starting point for the Distant Worlds Expedition 3302. This expedition was a collaborative journey to Beagle Point, on the far side of the galaxy.",112.69,47.13,128.44
PHROEA PLOE SO-Z E5374,"This destination, picked by Commander Gedemon, is a small black hole in the centre of a planetary nebula, with an icy belt illuminated only by the nebula. A simply incredible sight.",5480.88,-178.06,23453.59
Sleguae HH-C d67,,-3430.94,-333.78,-3568.13
Pomeche,"Commander Barking Mad suggests this magnificent mountain range, with peaks of 35km, has nearby canyons and other geological features that are equally impressive. A destination for those who love close flying or SRV driving in extreme conditions.",56.66,82.09,3.09
Preae Ain LO-N C8-15,"While returning from a trip to Sagittarius A*, Commander Killen found this pair of lovely Earth-like planets, and suggets it as an ideal location for some planetary sightseeing.",-4717.16,715.50,10831.44
Byaa Theia FL-P e5-9,,3618.38,84.78,3740.03
Pyroifoea CP-X c2-4,Commander CrossFire Walli was amazed to learn that this ice giant was over 44 Earth masses! He loves to fly along the rings close to that impressive planet.,3327.56,-673.88,5485.13
Ross 1057,"Commander Thelan suggests this tourist destination on the strength of its short orbit period, meaning that its sky is constantly changing with some amazing views.",-32.31,26.19,-12.44
Greae Dryoae VM-F b14-1,,2198.03,-684.19,5637.25
Sagittarius A*,Sagittarius A* is a popular destination for explorers and travellers. It is a supermassive black hole of the type found in most spiral and elliptical galaxies. Radio transmissions indicating its existence were first discovered by Karl Jansky.,25.22,-20.91,25899.97
Shrogea MH-V E2-1763,This delightful view of a black hole within a green nebula was suggested by Commander DragoCubX.,971.03,613.22,21307.31
SKAUDE AA-A H294,Mike V Zoo Tourist Airlines are proud to announce a new tour to the Skaude AA-A h294! Planning a vacation in the galactic core? Visit Skaude AA-A h294! Commander Halfmuh recommends this destination and believes this to be the largest stellar body with a ring system.,-5131.72,-275.63,10365.22
Sol,"The planet Earth is the cradle of humanity. As such it has experienced times of terrible destruction, through war and ecological disaster. Since the 22nd century humanity has expanded from its home into the stars, and with much of the damage the planet's ecosphere had suffered has since been repaired. The planet is now a popular travel destination and is a lush and vibrant world.",0.00,0.00,0.00
Pludgu QK-F d11-0,,-3898.03,-2337.69,-3935.94
Straneou RI-T E3-1149,"This small nebula encloses a neutron star, and in Commander Demilikos' opinion, makes a good celestial travel destination.",-497.44,1652.34,18876.38
Synuefai LI-Z D1-9,"Commander IliteratSqirel invites you to marvel at the sight of the Horsehead, Orion and Barnard's Loop nebulae at this sightseeing location.",-753.53,-47.25,-850.56
T TAURI,"This system has the most amazing views of the Hind Nebula, and is a firm favourite of Commander Kronek.",-32.97,-206.41,-557.31
Greae Phio DT-G d11-169,,1342.47,-488.69,16537.19
Gru Phio KE-G d11-327,,2665.31,-682.59,16599.53
Thor's Eye,,-439.84,-86.63,4205.16
Nuekea RP-M d8-161,,9475.50,-263.41,13771.22
Greae Phio QI-L c23-346,,1389.16,-552.88,16598.16
Traikoa FL-P E5-4,"Commander MetroViper527 suggests this recent supernova as celestial treasure to visit. The system contains a ~2.7 solar mass black hole that you can get to within about 40km of before overheating. The system is located just on the edge of the Sagittarius Spiral Arm, near Omega Nebula, which is also a beautiful tourist destination.",-1504.38,-18.53,5040.97
V380 Orionis,"This planetary nebula recommended by Commander Muetdhiver as a rare mix of fiery colours, making some incredible views from the local planets.",549.34,-374.53,-926.59
Veil West Sector GW-W C1-16,Commander Ozric recommends this sight of the Veil West Nebula as an ideal view for celestial sightseeing.,-1389.72,-190.84,411.28
Voqooe JC-K D9-95,"According to Commander Newman1702, this binary pair of Earth-like planets makes for an ideal location for planetary sightseeing.",-4088.50,-1861.94,17677.63
VY Canis Majoris,"As one of the largest known stars in the galaxy, Commander Monkey D Luffy considers this a must see for any astronomical sightseer.",1576.06,-150.22,-922.53
WEPAI QU-G C26-1890,"This complex collection of ring systems provides some spectacular views, and was recommended by Commander The_Tenderizer01.",-38.03,-409.06,24411.63
Greae Phoea SZ-E d12-2232,,4787.97,-467.94,16658.53
Boeph XJ-R e4-1221,,-8091.56,-1033.19,16459.16
Eeshovvy CC-B d14-2566,,-498.88,-659.69,18082.91
Dryoea Flyoo AA-A h43,,-7053.19,-1629.13,18407.13
Y Canum Venaticorum,"Commander Muetdhiver reports that this location can have some of the best views of this bright red, giant carbon star.",-264.81,993.91,-186.75
Zunuae IU-D d13-363,Commander Hallan Chone refers to this location as 'The Eye of Fire'. It's ringed gas giant with what appears to be a very large axial tilt. This results in its rings glowing with light when backlit by the star it orbits.,-973.13,1059.41,24436.44
Alioth,"The Alliance Assembly is the central body for the Alliance as a whole. While parallels can be drawn with the European Union in the 21st century, the Assembly lacks the law making powers of the EU. In main it functions as a means for establishing common policies and treaties rather than laws. / It also acts as an arbitration body between member states and depending on Assembly votes can enforce sanctions or corrective measures. However the politics of the member states often makes this a tricky process.",-33.66,72.47,-20.66
Alioth,"Barring the small Alliance Defence Force for defending key components of the Alliance bureaucracy there is no central Alliance Navy to compare with the other major powers. Instead a headquarters organisation exists staffed by the Council of Admirals and their support staff. / The Alliance Defence Force is essentially a small rapid deployment force made up of ships from the member navies, and is maintained under the command of the Council of Admirals to respond to any crisis - humanitarian and military. / In an emergency additional forces would be provided by member navies if the Council of Admirals makes an emergency appeal to the Assembly.",-33.66,72.47,-20.66
Alioth,"After the war between Achenar and the Federation concluded in 2380, the Federation looked to find new resources elsewhere. In 2398, the first of a new wave of colonial missions was sent to the outermost sectors in the opposite direction to the Empire and Lave. / Alioth was colonised in 2452. Survey data and reports had already indicated the rich resources of the system before settlement, but the resources proved richer than expected. / The first colonial settlement in the system was known as 'Fruitcake', the name given owing to the loamy consistency of the planetary surface and its propensity for small mineral deposits.",-33.66,72.47,-20.66
Alioth,"Each Alliance Member State has a number of Council Members within the Alliance Assembly, based on the size of their respective populations. Some only have one. The Prime Minister is elected by the Members, and it is his or her job to corral them into some sort of consensus; generally a slow process. There is much less tradition than in the other powers, and processes within the Alliance Assembly are still subject to change - generally when arguments break out, as they frequently do. In practice the Alliance is largely run by Civil Servants - salaried officials that look after day to day running of the Alliance, generally not getting involved in the political struggles. / The Alliance Defence Force is run by the six member Council of Admirals, independently from the Council of Members, but reporting to it after the event, to facilitate rapid decision-making. Each of the Admirals is from a key contributing Navy.",-33.66,72.47,-20.66
Alioth,"In 2559, the tourist liner Everichon, full of Imperial nobles, was hijacked by a Caker group who planned to crash it into one of the gas giants. The attempt was thwarted by Imperial commandoes. The holo-vid broadcast and subsequent fictional dramatisation 'Rebel Madness', went some way to diverting popular opinion from the insurrection.",-33.66,72.47,-20.66
Alioth,"Having smuggled weapons into the system, the tension between the Cakers and the authorities was always going to spill over eventually. In 2617, the death of Tom Quaterson, a munitions worker who had been convicted of selling food coupons to the poor, was the spark that lit the flame of revolt. Workers on the gas platforms seized control of the facilities and planetside, the general populace stormed the Governor's residence. / Quentin Deviseses wasn't just a revolutionary. He had a long term strategy for the system and as soon as the planet was secure, used every means he could to get the word out that Alioth would become a free trade port. / The resource implication of Alioth's independence was too much for either the Empire or the Federation to take.",-33.66,72.47,-20.66
Alioth,"In 2853, the science research outpost of Nesbitt Landing was founded. Initially this was to be a joint venture between the Empire and Federation, but when a detailed study into the genetic problems on New California linked the issue with the terraforming of the planet in 2612, the Imperials withdrew from the project. / The matter remained a local issue until, in 2854, responding to pressure from Achenar, Imperial soldiers instigated martial law and attempted to impose a genetic correction programme on the planet. This was precented by a coup against the military garrison by a new Caker sect. Within days, the planet had been secured and an appreal was sent to the Federation for assistance. / A fierce battle ensued; Imperial forces from the orbital refineries began a planetary bombardment, but the arrival of a Federal fleet escalated the conflict. Eventually, the Imperial ships pulled back and Admiral Kracer landed with his marines to cheering crowds in the capital. Kracer retired three years later, settling in New California and later became the colony leader.",-33.66,72.47,-20.66
Alioth,"In 3184, the election of Federation President Loric Trander saw a renewal of hostilities over Alioth. This time, conflict was instigated by corporate rivalry in the system's vast gas mining sector. After the discovery of a murdered official named Riley Dain who was investigating the abuse of permitted quotas, the situation quickly escalated. Trander authorised a force off privateers. In response Hesketh Duval sent in the Imperial XV fleet. / The conflict avoided the settlement of New California, owing to the previous treaty, but the settlers there found themselves all but cut off until a further ceasefire was established in 3198. Neither side achieved anything but line the pockets of the industries who fuelled and powered their fleets. It also served to stir further resentment amongst the settlers. At this time, the Caker insurrection became more organised and received substantial financial support from unknown sources.",-33.66,72.47,-20.66
Alioth,"Born in 3205, Mic Turner grew up in Jones Colony in the Essafa system. After graduating with honours from the civilian Pilots school, he moved to New California in Alioth, just before the rebellion started. / In 3228, when the Federal corporations supplying New California attempted to raise their prices again, the citizens revolted, taking over the ships berthed in the space station and riding out to the gas mining station to assault the corporate workers. Federal and Imperial forces arrived within days, but fighters from Alioth and several neighbouring independent systems joined forces to repel them. / Turner's pilot skills saw him amongst the first to fly out to the orbital platforms and he won a great deal of respect from his peers for his efforts. It was here the met Meredith Argent, a scientiest who led one of the Caker cells on the gas platforms and was direct descendant of Walter Argent, a wealthy industrial from Ayethi in the the 27th century. Argent and Turner were to become partners for life.",-33.66,72.47,-20.66
Reorte,"After three weeks of fighting in the Lave Cluster, the Alliance Elite Diplomatic Corps (AEDC) managed to reclaim Reorte from a pirate insurgency. Early in April 3301, a local pirate group had tried to rename the cluster ""New Caribbean"", but undercover AEDC agents worked with local groups to retake control of Davies High.",75.75,48.75,75.16
Luyten 205-128,"In 3251 the Antares, a technologically revolutionary passenger liner designed and built by the Sirius Corporation, disappeared during its first hyperspace jump. In 3301 Li Yong-Rui, CEO of Sirius Corporation's governmental division, launced a search for the ship. Sirius Corporation confirmed discovery of the ship's remains in 3302.",7.59,-4.94,16.72
Gateway,"Gateway was originally known as Oltiqu, but renamed when the Alliance was founded in 3230. The system had originally been under Federation jurisdiction after being colonised in 2473 to be used as a military staging area for a further invasion of Alioth. Over time, the military bases became more permanent colonies and settlements. The system achievend full federal membership in 2561, but remained relatively unimportant and in the shadow of Alioth for many centuries. / When Alioth finally achieved independence in 3230, Oltiqu might have been a place where the Federation forces could rally and return. However a coordinated peaceful coup by sympathetic federal officials allowed the system to be united under the banner of the Alliance.",-11.00,77.84,-0.88
Holiacan,"Relatively late to joining the original Alliance group in 3244, Holiacan was not contested by Federation forces as the systems assets were relatively small. The bloodless revolution is a complete contrast to its partner and robotic manufacturing rival Alioth, whose industry in this area had been expanded into the system in 3229. / Since this time, robotics manufacturing and output within the Holiacan has increased. Several other prominent political figures in Alliance politics have emerged from this system, most notably Lucinda Kallis, who wields considerable influence amongst the system group.",-51.25,67.34,-21.47
Indaol,"This minor system in notable only because of its early membership of the Alliance, joining in 3232. This membership granted the colonists significant technological improvement on their existing lot.",-14.03,79.22,-3.59
Olgrea,"Mic Turner, the intergalactic Explorer, ship designer and founder of the Alliance, led the Federation expenditionary team tha brought colonists to Olgrea in 3224. \ Terraforming operations began almost immediately as the Federation could see that further population growth in the region would require room to accommodate. \ In 3239, Alliance warships and Turner's command return to the system and after a short altercation with Federal forces won control of Fortress Jung and New Casablanca. After this it was only a matter of time before the rest of the system surrendered and the Federation withdrew. \ By 3250, the Olgrea system had become a massive part of the Alliance infrastructure. The Planet New Gotham became the centre of agricultural production for the entire Alliance sector. The system population had grown to approach 100 million inhabitants, one of the fastest system migrations in interstellar history.",-28.13,68.28,-6.38
Achenar,"The origins of the Empire date back to the colonisation of the Achenar system in the middle of the 23rd century. Marlin Duval was a wealthy woman from Earth, who, disenchanted with their administration and authorities, set off with her own colonising fleet to Achenar 6d because it was so far from Earth. Her leadership ended abruptly when her brother Henson oversaw a flying 'accident' in which she perished. The democratic government changed abruptly to one of strict imperial rule and from then on the family assumed leadership. Female children in the family were prevented with genetic techniques, such was the hatred of Marlin Duval's principles and vision of a world in peace. This restriction was gradually phased out over the years, but the succession of Emperors has remained along the male line until recently.",67.50,-119.47,24.84
Achenar,"Achenar drew the irritation of the Federation at the start of 2323, when reports reached Earth that the colonists had wiped out a sentient race on the planet. This, coupled with the refusal of Achenar to become a member, caused the Federation to send a battle group to take control of the system by force. / The fleet eventually arrived in the Achenar system at the start of 2324. Gathered intelligence meant the Imperial forces ambushed the Federal forces as they jumped into the system. What they hadn't predicted was the enemy to use their pack hunting formation against them.",67.50,-119.47,24.84
Achenar,"For the rest of 2324. Federation ships tried to establish a beach head in the furthest reaches of the system, but with no breathable atmosphere amongst the far planets, they struggled to maintain for the war effort. / Eventually in 2325 Henson Duval decided Federal forces had been weakened sufficiently to strike. Achenar's own small fleet was mobilised, the Duval family commandeering nearly every vessel in the system to fall upon the weakened Federal forces where they clustered on the edge of the system. This became know as the Great Battle of Liberation.",67.50,-119.47,24.84
Achenar,"At the end of the war, in the great palace of the Duvals on Capitol, Henson Duval ordered a great hall to be filled with obsidian pillars. These unadorned blocks of black stone represent each brave soul who has died for Achenar. Sixteen thousand and thrity two pillars were constructed for its opening in 2381. this tomb remains underneath the Imperial palace on Capitol. The highest memorial for an Imperial citizen is to be entombed in the Hall. / It is rumoured that some of the later martyrs were encased in their stones alive...",67.50,-119.47,24.84
Ackwada,"In 2865, a request from the Rockforth Corporation reached the Emperor for assistance in the Ackwada system against the Federation. At the promise of substantial financial reward a battlegroup was assembled to respond. / Officially, the appointed leader of this flotilla, one Samuel Lanner, was an independent trader and privateer. / The clash between the Federation and Lanner's forces remained limited and the Federal fleet withdrew to Laveack. The Rockforth Corporation paid up as promised and signed a contract with Lanner's privateers to guarantee the defence of the system.",42.78,-65.31,-11.34
Ackwada,"Seven years later, in 2872 the fleet returned. A clash with Lanner's forces resulted in a stalemate. Using Anaconda transports and Cobra Mark I's, Lanner was able to outmanoeuvre the larger Federal battle group, forcing another retreat. In 2873, Lanner was summoned back to Achenar, Records indicate he departed from Ackwada, but he was never heard from again. A memorial stone was erected in the Hall of Martyrs in his honour.",42.78,-65.31,-11.34
Andceeth,"In 2913, former Imperial Commander Maximillian Wrekcht attempted to raid the banking vaults on the Trouble in the Andceeth system. Whilst Wrekcht was a retired Commander of the Fifth Imperial fleet, his actions under an Imperial letter of marque left no doubts to his affiliation. Working from an Imperial cruiser with a prototype engine mask, Wrekcht's audacious attempt to bombard the planet with asteroids was foiled by Federal defence forces. He was believed to have died in the ensuing battle.",70.78,-19.78,-8.28
Alioth,"In 2924, a further conflict started up in the Alioth system, initiated by a squabble over its hydrocarbon resources. The Durn and Resnar Corporation applied for Imperial assistance to enforce its claim over a large swathe of the system's mining rights. A small force of Imperial cruisers and their support ships arrived in the system and rapidly deployed to enforce these claims. They vastly outnumbered the mustered Federal units, and forced them out of the entire system within a year. But then, withouth warning in 2925, the Imperial battle group disappeared. Federal vessels returned and Hassoni-Kruger appropriated the system's mining rights. Within month all assets of the Durn and Resner Corporation were seized by the Emperor. The reson for the strange events has never been discovered. Federal intelligence sources were later to accuse the Duvals of instigating a cloning programme to breed specialised infantry units.",-33.66,72.47,-20.66
Fawaol,"In 2934, acting on the information of concerned locals, Imperial forces arrived in the Fawaol system to wipe out the experimental genetic research facilities of the Darious Foundation.",65.56,-118.16,-10.09
Zeessze,"in 2942, New America in the Zeessze system revolted over the harsh working conditions imposed more than a century before. Suprisingly the Imperial fleet was not deployed and the system gradually reverted to Federation rule.",-19.81,-3.25,-14.28
Liaedin,"In 2943, at the age of one hundred and fourteen, Trasken Duval III died. His son Olban Hensard Duval succeeded him. / Olban's first action on the interstellar political stage marked a different approach to his father. Imperial involvement in the disputes in the Liaedin system, beginning in 2945, were subtle rather then heavy-handed.",-32.03,-5.81,38.13
Zeaex,"Further evidence of Olban Duval's subtle approach occured in 2951 when the Empire elected to act through agents in the Zeaex system, empowering Erronsa and Francis Ashfield in their conflict over mining right with Grambourne Cambridge of the Federeation.",27.53,0.81,26.84
Laedla,"The Emperor's willingness to use force was proven when in 2959, an Imperial strike force invaded the Laedla system and overwhelmed the Federation garrison on Mansfield on 'Lighting Thursday'. This was the first recorded deployment of 'The Emperor's Own', an elite military corps.",78.47,-91.31,29.38
Ackwada,"in 2974, the Federation pushed further. Another invasion began in the Ackwada system. This time, instead of sending a 'privateer' battlegroup, the Empire supllied ships and equipment directly to the system's residents. The 'Yorkville Partriots' rose up and defeated the Federation fleet six weeks after they arrived.",42.78,-65.31,-11.34
Zeaex,"In 2976, the death of Francis Ashfield in the Zeaex system, allegedly at the hands of Federal assassins, prompted only the second major military assembly of Olban Hensard Duval's reign. However, conflict was averted when the settlers of Newtown in the system sent a personal appeal to both the Federation and the Empire, which resolved the matter of mining rights and established an uneasy truce.",27.53,0.81,26.84
Quince,"The ascension of Gaylen Trasken Duval was marked with chaotic celebrations in the Achenar and Quince systems. With a new Emperor on the throne, the Imperial political agenda changed again. Gaylen proved to ma more prickly and temperamental character than his predecessor. Hostilities at Alioth were renewed in 2994, whilst a Federation  supported coup in the Ackwada system was ruthlessly suppressed by the Imperial backed forces in 2996.",57.38,341.38,333.00
Achenar,"Gaylen Trasken Duval's first act as Emperor, was to expand the Imperial palace on Capitol, transforming the building into the glowing pink glass structure we know today. To complete his vision, the Emperor hired thousands of the galaxy's best designers and architects to work on the structure. The result is one of the great manufactured interstellar marvels of our age.",67.50,-119.47,24.84
